Order ID,Order Date,Ship Date,Ship Mode,Customer ID
CA-2016-152156,11-08-16,11-11-16,Second Class,CG-12520
CA-2016-138688,06-12-16,6/16/2016,Second Class,DV-13045
US-2015-108966,10-11-15,10/18/2015,Standard Class,SO-20335
CA-2014-115812,06-09-14,6/14/2014,Standard Class,BH-11710
CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480
CA-2016-161389,12-05-16,12-10-16,Standard Class,IM-15070
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815
CA-2014-105893,11-11-14,11/18/2014,Standard Class,PK-19075
CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270
CA-2014-143336,8/27/2014,09-01-14,Second Class,ZD-21925
CA-2016-137330,12-09-16,12/13/2016,Standard Class,KB-16585
US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065
CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870
CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520
CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560
CA-2016-117590,12-08-16,12-10-16,First Class,GH-14485
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710
CA-2017-120999,09-10-17,9/15/2017,Standard Class,LC-16930
CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885
CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080
CA-2016-118255,03-11-16,3/13/2016,First Class,ON-18715
CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000
CA-2016-105816,12-11-16,12/17/2016,Standard Class,JM-15265
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720
US-2015-164175,4/30/2015,05-05-15,Standard Class,PS-18970
CA-2014-106376,12-05-14,12-10-14,Standard Class,BS-11590
CA-2016-119823,06-04-16,06-06-16,First Class,KD-16270
CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980
CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520
US-2015-134026,4/26/2015,05-02-15,Standard Class,JE-15745
US-2017-118038,12-09-17,12-11-17,First Class,KB-16600
US-2014-147606,11/26/2014,12-01-14,Second Class,JE-15745
CA-2016-127208,06-12-16,6/15/2016,First Class,SC-20770
CA-2014-139451,10-12-14,10/16/2014,Standard Class,DN-13690
CA-2015-149734,09-03-15,09-08-15,Standard Class,JC-16105
US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400
CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865
CA-2017-155558,10/26/2017,11-02-17,Standard Class,PG-18895
CA-2016-159695,04-05-16,04-10-16,Second Class,GM-14455
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685
CA-2015-149587,1/31/2015,02-05-15,Second Class,KB-16315
US-2017-109484,11-06-17,11-12-17,Standard Class,RB-19705
CA-2017-161018,11-09-17,11-11-17,Second Class,PN-18775
CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345
CA-2016-149223,09-06-16,09-11-16,Standard Class,ER-13855
CA-2016-158568,8/29/2016,09-02-16,Standard Class,RB-19465
