Order ID,Payment ID,Payment Method,Payment Status
CA-2016-152156,PAY00001,Cash on Delivery,Completed
CA-2016-152156,PAY00002,Net Banking,Completed
CA-2016-138688,PAY00003,Debit Card,Completed
US-2015-108966,PAY00004,Debit Card,Failed
US-2015-108966,PAY00005,Debit Card,Completed
CA-2014-115812,PAY00006,Net Banking,Completed
CA-2014-115812,PAY00007,Credit Card,Failed
CA-2014-115812,PAY00008,Cash on Delivery,Pending
CA-2014-115812,PAY00009,UPI,Completed
CA-2014-115812,PAY00010,Credit Card,Completed
CA-2014-115812,PAY00011,Net Banking,Completed
CA-2014-115812,PAY00012,Debit Card,Completed
CA-2017-114412,PAY00013,Net Banking,Failed
CA-2016-161389,PAY00014,Debit Card,Pending
US-2015-118983,PAY00015,Credit Card,Completed
US-2015-118983,PAY00016,Credit Card,Completed
CA-2014-105893,PAY00017,Cash on Delivery,Completed
CA-2014-167164,PAY00018,Debit Card,Pending
CA-2014-143336,PAY00019,Credit Card,Completed
CA-2014-143336,PAY00020,Credit Card,Failed
CA-2014-143336,PAY00021,Net Banking,Completed
CA-2016-137330,PAY00022,Net Banking,Completed
CA-2016-137330,PAY00023,Debit Card,Completed
US-2017-156909,PAY00024,Credit Card,Pending
CA-2015-106320,PAY00025,Net Banking,Completed
CA-2016-121755,PAY00026,Net Banking,Pending
CA-2016-121755,PAY00027,Net Banking,Completed
US-2015-150630,PAY00028,Credit Card,Completed
US-2015-150630,PAY00029,Cash on Delivery,Completed
US-2015-150630,PAY00030,Net Banking,Failed
US-2015-150630,PAY00031,Debit Card,Pending
US-2015-150630,PAY00032,Credit Card,Failed
US-2015-150630,PAY00033,Debit Card,Completed
US-2015-150630,PAY00034,Credit Card,Completed
CA-2017-107727,PAY00035,Cash on Delivery,Completed
CA-2016-117590,PAY00036,Debit Card,Completed
CA-2016-117590,PAY00037,UPI,Completed
CA-2015-117415,PAY00038,Credit Card,Failed
CA-2015-117415,PAY00039,Net Banking,Completed
CA-2015-117415,PAY00040,Credit Card,Completed
CA-2015-117415,PAY00041,Net Banking,Completed
CA-2017-120999,PAY00042,Debit Card,Completed
CA-2016-101343,PAY00043,Debit Card,Completed
CA-2017-139619,PAY00044,Net Banking,Completed
CA-2016-118255,PAY00045,Credit Card,Completed
CA-2016-118255,PAY00046,Credit Card,Completed
CA-2014-146703,PAY00047,Credit Card,Pending
CA-2016-169194,PAY00048,Cash on Delivery,Completed
CA-2016-169194,PAY00049,Credit Card,Failed
CA-2015-115742,PAY00050,Debit Card,Completed
CA-2015-115742,PAY00051,Net Banking,Pending
CA-2015-115742,PAY00052,Debit Card,Completed
CA-2015-115742,PAY00053,Net Banking,Completed
CA-2016-105816,PAY00054,Cash on Delivery,Completed
CA-2016-105816,PAY00055,Cash on Delivery,Completed
CA-2016-111682,PAY00056,UPI,Completed
CA-2016-111682,PAY00057,Debit Card,Completed
CA-2016-111682,PAY00058,Cash on Delivery,Completed
CA-2016-111682,PAY00059,Cash on Delivery,Pending
CA-2016-111682,PAY00060,Credit Card,Completed
CA-2016-111682,PAY00061,Credit Card,Pending
CA-2016-111682,PAY00062,UPI,Completed
CA-2015-135545,PAY00063,Debit Card,Completed
CA-2015-135545,PAY00064,Cash on Delivery,Completed
CA-2015-135545,PAY00065,Net Banking,Completed
CA-2015-135545,PAY00066,Net Banking,Pending
US-2015-164175,PAY00067,Net Banking,Completed
CA-2014-106376,PAY00068,Credit Card,Failed
CA-2014-106376,PAY00069,Debit Card,Completed
CA-2016-119823,PAY00070,Net Banking,Completed
CA-2016-106075,PAY00071,Cash on Delivery,Completed
CA-2017-114440,PAY00072,UPI,Completed
US-2015-134026,PAY00073,Credit Card,Completed
US-2015-134026,PAY00074,Net Banking,Completed
US-2015-134026,PAY00075,Debit Card,Completed
US-2017-118038,PAY00076,UPI,Completed
US-2017-118038,PAY00077,Credit Card,Completed
US-2017-118038,PAY00078,Credit Card,Completed
US-2014-147606,PAY00079,UPI,Completed
CA-2016-127208,PAY00080,Cash on Delivery,Completed
CA-2016-127208,PAY00081,Net Banking,Completed
CA-2014-139451,PAY00082,Net Banking,Pending
CA-2014-139451,PAY00083,UPI,Completed
