Order ID,Shipment ID,Delivery Status,Delivery Partner
CA-2016-152156,SHIP00001,Delivered,India Post
CA-2016-152156,SHIP00002,Delivered,XpressBees
CA-2016-138688,SHIP00003,Cancelled,XpressBees
US-2015-108966,SHIP00004,Delivered,India Post
US-2015-108966,SHIP00005,Cancelled,India Post
CA-2014-115812,SHIP00006,Delivered,XpressBees
CA-2014-115812,SHIP00007,Delivered,Ecom Express
CA-2014-115812,SHIP00008,Delivered,Delhivery
CA-2014-115812,SHIP00009,Returned,XpressBees
CA-2014-115812,SHIP00010,Delivered,XpressBees
CA-2014-115812,SHIP00011,Delivered,India Post
CA-2014-115812,SHIP00012,Delivered,Delhivery
CA-2017-114412,SHIP00013,Delivered,DTDC
CA-2016-161389,SHIP00014,Delivered,Ecom Express
US-2015-118983,SHIP00015,Delivered,DTDC
US-2015-118983,SHIP00016,In Transit,Blue Dart
CA-2014-105893,SHIP00017,Delivered,DTDC
CA-2014-167164,SHIP00018,Delivered,India Post
CA-2014-143336,SHIP00019,Delivered,XpressBees
CA-2014-143336,SHIP00020,Cancelled,India Post
CA-2014-143336,SHIP00021,Delivered,India Post
CA-2016-137330,SHIP00022,Delivered,India Post
CA-2016-137330,SHIP00023,Delivered,Delhivery
US-2017-156909,SHIP00024,Delivered,India Post
CA-2015-106320,SHIP00025,Returned,XpressBees
CA-2016-121755,SHIP00026,Delivered,DTDC
CA-2016-121755,SHIP00027,Delivered,Ecom Express
US-2015-150630,SHIP00028,Delivered,Delhivery
US-2015-150630,SHIP00029,Returned,Ecom Express
US-2015-150630,SHIP00030,Delivered,Delhivery
US-2015-150630,SHIP00031,Delivered,XpressBees
US-2015-150630,SHIP00032,Delivered,Ecom Express
US-2015-150630,SHIP00033,Delivered,Delhivery
US-2015-150630,SHIP00034,In Transit,XpressBees
CA-2017-107727,SHIP00035,Delivered,Delhivery
CA-2016-117590,SHIP00036,Delivered,India Post
CA-2016-117590,SHIP00037,Returned,India Post
CA-2015-117415,SHIP00038,In Transit,India Post
CA-2015-117415,SHIP00039,Delivered,Blue Dart
CA-2015-117415,SHIP00040,Delivered,Ecom Express
CA-2015-117415,SHIP00041,Delivered,Delhivery
CA-2017-120999,SHIP00042,Delivered,Ecom Express
CA-2016-101343,SHIP00043,Delivered,Delhivery
CA-2017-139619,SHIP00044,Delivered,DTDC
CA-2016-118255,SHIP00045,Delivered,DTDC
CA-2016-118255,SHIP00046,Delivered,XpressBees
CA-2014-146703,SHIP00047,Cancelled,India Post
CA-2016-169194,SHIP00048,Delivered,DTDC
CA-2016-169194,SHIP00049,Delivered,India Post
CA-2015-115742,SHIP00050,Delivered,Ecom Express
CA-2015-115742,SHIP00051,Delivered,Blue Dart
CA-2015-115742,SHIP00052,Delivered,Blue Dart
CA-2015-115742,SHIP00053,Returned,DTDC
CA-2016-105816,SHIP00054,Delivered,Blue Dart
CA-2016-105816,SHIP00055,Delivered,DTDC
CA-2016-111682,SHIP00056,Delivered,DTDC
CA-2016-111682,SHIP00057,Delivered,XpressBees
CA-2016-111682,SHIP00058,Returned,Ecom Express
CA-2016-111682,SHIP00059,Delivered,XpressBees
CA-2016-111682,SHIP00060,Delivered,India Post
CA-2016-111682,SHIP00061,Returned,Delhivery
CA-2016-111682,SHIP00062,Cancelled,XpressBees
CA-2015-135545,SHIP00063,Returned,Blue Dart
CA-2015-135545,SHIP00064,Delivered,DTDC
CA-2015-135545,SHIP00065,Cancelled,XpressBees
CA-2015-135545,SHIP00066,Delivered,Ecom Express
US-2015-164175,SHIP00067,Delivered,DTDC
CA-2014-106376,SHIP00068,Delivered,India Post
CA-2014-106376,SHIP00069,Delivered,Ecom Express
CA-2016-119823,SHIP00070,Delivered,Delhivery
CA-2016-106075,SHIP00071,Delivered,DTDC
CA-2017-114440,SHIP00072,Delivered,XpressBees
US-2015-134026,SHIP00073,Delivered,XpressBees
US-2015-134026,SHIP00074,Delivered,XpressBees
US-2015-134026,SHIP00075,Delivered,Delhivery
US-2017-118038,SHIP00076,Cancelled,Blue Dart
US-2017-118038,SHIP00077,Delivered,Ecom Express
US-2017-118038,SHIP00078,Delivered,India Post
US-2014-147606,SHIP00079,Delivered,Ecom Express
CA-2016-127208,SHIP00080,Returned,Blue Dart
CA-2016-127208,SHIP00081,Returned,Ecom Express
CA-2014-139451,SHIP00082,Cancelled,XpressBees
CA-2014-139451,SHIP00083,Delivered,Delhivery
CA-2015-149734,SHIP00084,Delivered,Blue Dart
US-2017-119662,SHIP00085,Delivered,DTDC
CA-2017-140088,SHIP00086,In Transit,XpressBees
CA-2017-155558,SHIP00087,Delivered,XpressBees
CA-2017-155558,SHIP00088,Delivered,Ecom Express
CA-2016-159695,SHIP00089,Delivered,Blue Dart
CA-2016-109806,SHIP00090,Returned,India Post
CA-2016-109806,SHIP00091,Returned,India Post
CA-2016-109806,SHIP00092,Returned,India Post
CA-2015-149587,SHIP00093,Returned,India Post
CA-2015-149587,SHIP00094,Delivered,Blue Dart
CA-2015-149587,SHIP00095,Delivered,India Post
US-2017-109484,SHIP00096,Cancelled,XpressBees
CA-2017-161018,SHIP00097,In Transit,DTDC
CA-2017-157833,SHIP00098,In Transit,DTDC
CA-2016-149223,SHIP00099,Delivered,XpressBees
CA-2016-158568,SHIP00100,Returned,XpressBees
CA-2016-158568,SHIP00101,Delivered,XpressBees
CA-2016-158568,SHIP00102,Cancelled,XpressBees
CA-2016-129903,SHIP00103,Delivered,Ecom Express
US-2015-156867,SHIP00104,Delivered,DTDC
US-2015-156867,SHIP00105,Delivered,Delhivery
US-2015-156867,SHIP00106,In Transit,Ecom Express
